id,maison_fs_id,mois,annee,nb_demandes,nb_demandes_resolues,temps_moyen_resolution,satisfaction_moyenne,nb_usagers_uniques,nb_nouveaux_usagers,taux_retour_usagers
49,49,7,2025,107,100,27,4.56,264,47,0.35
50,50,7,2025,70,63,87,4.59,93,28,0.68
51,51,7,2025,240,209,83,3.74,84,50,0.48
52,52,7,2025,249,201,68,3.82,245,26,0.59
53,53,7,2025,324,280,78,3.62,160,26,0.46
54,54,7,2025,73,64,49,4.19,107,15,0.49
55,55,7,2025,241,205,62,3.74,105,38,0.33
56,56,7,2025,287,271,23,3.9,279,46,0.47
57,57,7,2025,89,79,46,3.97,159,39,0.35
58,58,7,2025,102,90,64,4.05,84,27,0.55
59,59,7,2025,221,178,43,3.57,96,45,0.46
60,60,7,2025,303,250,51,3.58,198,46,0.56
61,61,7,2025,138,118,82,4.27,107,37,0.58
62,62,7,2025,249,207,83,4.68,95,29,0.46
63,63,7,2025,162,149,60,3.81,288,41,0.31
64,64,7,2025,230,217,53,3.66,269,39,0.37
65,65,7,2025,179,151,74,3.78,117,30,0.64
66,66,7,2025,259,223,56,4.11,163,41,0.37
67,67,7,2025,289,244,34,3.55,115,36,0.56
68,68,7,2025,189,171,30,4.14,214,15,0.47
69,69,7,2025,194,162,76,4.13,130,28,0.39
70,70,7,2025,77,69,62,3.53,155,49,0.39
71,71,7,2025,338,301,70,3.92,229,36,0.3
72,72,7,2025,332,274,37,3.89,165,10,0.6
73,73,7,2025,175,151,80,4.69,240,32,0.46
74,74,7,2025,223,205,81,3.83,242,21,0.39
75,75,7,2025,87,77,60,4.53,141,19,0.48
76,76,7,2025,207,167,87,4.32,109,21,0.48
77,77,7,2025,209,168,74,4.18,119,28,0.35
78,78,7,2025,228,199,23,4.78,98,50,0.37
79,79,7,2025,229,206,40,4.41,279,24,0.67
80,80,7,2025,192,178,34,4.32,89,25,0.34
81,81,7,2025,247,199,46,3.57,115,36,0.33
82,82,7,2025,179,161,42,4.26,252,32,0.64
83,83,7,2025,92,77,77,4.2,159,42,0.3
84,84,7,2025,296,272,79,4.74,135,34,0.66
85,85,7,2025,168,146,21,4.12,148,34,0.65
86,86,7,2025,284,254,87,4.2,279,17,0.51
87,87,7,2025,112,104,81,3.71,258,34,0.36
88,88,7,2025,76,66,41,3.73,295,42,0.48
89,89,7,2025,294,235,50,4.15,284,44,0.53
90,90,7,2025,263,226,28,4.4,140,21,0.39
91,91,7,2025,332,301,66,3.88,144,48,0.42
92,92,7,2025,160,138,25,3.62,225,43,0.42
93,93,7,2025,251,218,21,4.67,167,49,0.48
94,94,7,2025,85,75,48,3.69,214,43,0.57
95,95,7,2025,83,75,79,4.0,152,26,0.37
96,96,7,2025,230,218,79,3.83,98,12,0.35
97,97,7,2025,137,125,86,3.58,88,26,0.6
98,98,7,2025,85,78,87,4.05,97,42,0.39
99,99,7,2025,75,60,55,4.49,180,48,0.35
100,100,7,2025,270,256,64,3.66,224,47,0.38
101,101,7,2025,152,132,29,3.99,135,35,0.5
102,102,7,2025,113,96,25,3.67,190,18,0.47
103,103,7,2025,227,214,37,3.98,298,35,0.45
104,104,7,2025,131,106,61,4.7,123,14,0.64
105,105,7,2025,106,99,67,4.48,82,36,0.36
106,106,7,2025,141,129,77,3.71,214,33,0.66
107,107,7,2025,336,276,48,3.51,148,29,0.57
108,108,7,2025,332,288,43,3.9,239,32,0.43
109,109,7,2025,166,133,78,3.96,161,38,0.38
110,110,7,2025,242,221,86,4.69,297,20,0.43
111,111,7,2025,229,210,46,4.22,96,43,0.48
112,112,7,2025,190,176,46,4.44,202,15,0.46
113,113,7,2025,238,217,54,3.93,249,22,0.31
114,114,7,2025,230,209,20,4.24,132,24,0.3
115,115,7,2025,84,68,34,4.1,274,35,0.31
116,116,7,2025,314,280,43,3.88,277,10,0.43
117,117,7,2025,258,227,81,3.52,255,16,0.5
118,118,7,2025,114,91,35,4.71,133,45,0.66
119,119,7,2025,182,159,28,4.55,151,44,0.34
120,120,7,2025,140,128,82,4.62,90,37,0.67
121,121,7,2025,125,103,41,3.93,291,41,0.53
122,122,7,2025,233,216,35,3.92,229,13,0.39
123,123,7,2025,313,287,45,4.18,222,36,0.6
124,124,7,2025,80,73,80,3.98,276,13,0.37
125,125,7,2025,275,238,87,3.63,227,12,0.64
126,126,7,2025,315,268,87,4.39,186,38,0.45
127,127,7,2025,174,146,39,4.54,229,26,0.36
128,128,7,2025,289,251,34,4.31,298,45,0.67
129,129,7,2025,345,286,52,4.57,120,18,0.68
130,130,7,2025,175,165,34,3.81,180,20,0.45
131,131,7,2025,314,287,35,3.9,111,13,0.42
132,132,7,2025,184,170,53,4.5,211,27,0.46
133,133,7,2025,257,231,48,4.25,145,10,0.35
134,134,7,2025,321,267,36,3.62,271,36,0.46
135,135,7,2025,197,178,26,3.55,86,21,0.51
136,136,7,2025,277,237,50,4.34,149,12,0.48
137,137,7,2025,284,246,88,3.53,126,44,0.61
138,138,7,2025,265,248,72,4.11,158,12,0.67
139,139,7,2025,94,81,42,4.34,283,15,0.33
140,140,7,2025,306,249,75,4.36,102,25,0.61
141,141,7,2025,308,281,36,3.9,122,24,0.62
142,142,7,2025,74,63,26,3.88,230,27,0.44
143,143,7,2025,186,174,73,4.01,116,30,0.36
144,144,7,2025,274,246,81,3.53,278,29,0.51
145,145,7,2025,146,122,87,4.44,276,41,0.31
146,146,7,2025,104,90,21,4.07,122,46,0.67
147,147,7,2025,202,186,43,3.55,188,49,0.52
148,148,7,2025,129,116,52,4.79,149,18,0.52
149,149,7,2025,296,273,81,3.72,161,29,0.33
150,150,7,2025,200,171,38,4.2,212,30,0.68
151,151,7,2025,119,96,89,3.76,96,30,0.38
152,152,7,2025,125,109,54,3.63,86,31,0.33
153,153,7,2025,198,179,28,4.27,258,24,0.6
154,154,7,2025,163,142,20,3.74,201,26,0.44
155,155,7,2025,81,75,55,4.61,130,21,0.55
156,156,7,2025,220,185,71,3.71,202,18,0.4
157,157,7,2025,179,166,47,3.64,210,22,0.58
158,158,7,2025,219,192,42,4.66,204,15,0.5
159,159,7,2025,298,265,30,3.93,262,27,0.31
160,160,7,2025,224,197,52,3.67,272,14,0.52
161,161,7,2025,345,285,74,3.78,212,20,0.48
162,162,7,2025,133,125,35,4.23,161,38,0.68
163,163,7,2025,129,113,24,3.69,197,20,0.48
164,164,7,2025,289,240,49,3.68,96,33,0.34
165,165,7,2025,170,147,39,4.51,194,12,0.54
166,166,7,2025,224,185,22,3.63,251,12,0.69
167,167,7,2025,293,267,57,4.42,134,10,0.32
168,168,7,2025,327,277,44,3.69,292,48,0.5
169,169,7,2025,256,214,81,3.8,284,47,0.54
170,170,7,2025,179,161,68,3.81,227,25,0.66
171,171,7,2025,199,174,62,4.03,226,18,0.31
172,172,7,2025,230,188,83,4.13,107,24,0.42
173,173,7,2025,107,101,31,3.79,163,33,0.39
174,174,7,2025,329,270,36,3.61,231,17,0.6
175,175,7,2025,262,241,88,3.7,144,47,0.6
176,176,7,2025,249,236,67,3.76,241,26,0.48
177,177,7,2025,75,63,81,4.51,172,35,0.38
178,178,7,2025,87,74,20,4.08,231,18,0.47
179,179,7,2025,130,104,78,4.2,258,23,0.54
180,180,7,2025,140,127,87,3.6,156,10,0.4
181,181,7,2025,139,113,51,3.57,119,35,0.6
182,182,7,2025,299,239,58,3.81,267,13,0.47
183,183,7,2025,284,267,37,4.18,163,29,0.37
184,184,7,2025,198,163,41,4.33,148,26,0.57
185,185,7,2025,253,220,88,3.95,159,40,0.49
186,186,7,2025,319,291,61,3.96,135,46,0.62
187,187,7,2025,198,182,20,3.78,188,44,0.35
188,188,7,2025,324,273,28,4.33,151,44,0.35
189,189,7,2025,305,274,71,4.58,225,50,0.34
190,190,7,2025,301,267,40,4.1,219,48,0.66
191,191,7,2025,285,266,69,4.6,107,39,0.46
192,192,7,2025,165,152,21,4.46,269,33,0.36
193,193,7,2025,207,193,23,4.32,81,24,0.39
194,194,7,2025,89,79,32,3.98,104,18,0.42
195,195,7,2025,125,118,71,3.92,178,37,0.63
196,196,7,2025,303,252,30,3.93,147,28,0.67
197,197,7,2025,230,187,43,4.06,293,37,0.61
198,198,7,2025,193,161,74,4.17,265,35,0.65
199,199,7,2025,158,138,38,4.65,170,16,0.48
200,200,7,2025,77,68,42,4.65,245,10,0.46
201,201,7,2025,157,148,76,3.51,198,12,0.56
202,202,7,2025,311,282,32,4.17,137,14,0.62
203,203,7,2025,114,107,33,3.8,172,50,0.4
204,204,7,2025,333,301,70,4.77,173,40,0.31
205,205,7,2025,341,274,22,3.99,100,46,0.66
206,206,7,2025,225,197,44,4.35,167,41,0.48
207,207,7,2025,78,64,90,3.55,96,11,0.53
208,208,7,2025,167,150,87,4.29,271,49,0.5
209,209,7,2025,97,88,45,4.14,291,30,0.31
210,210,7,2025,177,154,20,4.79,180,36,0.49
211,211,7,2025,143,127,48,4.1,195,43,0.38
212,212,7,2025,249,202,24,3.84,237,40,0.48
213,213,7,2025,226,200,41,4.46,111,26,0.67
214,214,7,2025,292,254,45,4.0,254,36,0.31
215,215,7,2025,284,266,37,4.3,163,23,0.44
216,216,7,2025,211,186,21,3.75,176,45,0.65
217,217,7,2025,336,303,53,4.42,222,42,0.63
218,218,7,2025,95,79,52,4.51,253,31,0.31
219,219,7,2025,165,138,35,3.71,245,42,0.59
220,220,7,2025,319,282,64,3.57,142,38,0.34
221,221,7,2025,172,161,48,4.03,164,24,0.53
222,222,7,2025,302,260,46,3.72,116,48,0.44
223,223,7,2025,289,240,30,4.71,297,37,0.57
224,224,7,2025,200,163,32,3.57,298,10,0.55
225,225,7,2025,72,67,62,3.88,149,26,0.38
226,226,7,2025,347,326,82,4.44,200,18,0.58
227,227,7,2025,263,234,81,3.66,147,30,0.33
228,228,7,2025,329,292,57,4.07,253,49,0.44
229,229,7,2025,136,121,24,4.29,113,14,0.4
230,230,7,2025,131,121,35,3.54,179,41,0.57
231,231,7,2025,147,128,30,4.76,192,36,0.44
232,232,7,2025,279,234,29,3.57,113,23,0.62
233,233,7,2025,134,109,77,3.99,166,34,0.55
234,234,7,2025,176,157,47,4.14,138,12,0.34
235,235,7,2025,86,71,65,4.5,176,22,0.54
236,236,7,2025,157,137,89,3.83,266,48,0.42
237,237,7,2025,324,284,41,3.63,181,39,0.51
238,238,7,2025,152,130,26,4.05,118,44,0.65
239,239,7,2025,92,79,90,4.47,292,26,0.66
240,240,7,2025,86,69,29,4.33,240,14,0.54
241,241,7,2025,261,239,58,4.14,114,50,0.45
242,242,7,2025,226,201,71,4.6,87,44,0.31
243,243,7,2025,189,156,48,4.53,259,49,0.57
244,244,7,2025,349,284,85,4.53,94,44,0.68
245,245,7,2025,317,273,67,4.28,143,14,0.4
246,246,7,2025,99,91,26,4.41,126,34,0.37
247,247,7,2025,198,164,50,3.52,124,43,0.38
248,248,7,2025,121,106,49,3.66,294,48,0.51
249,249,7,2025,347,324,86,3.87,213,47,0.43
250,250,7,2025,315,287,46,4.44,246,37,0.47
251,251,7,2025,108,99,32,4.51,131,33,0.67
252,252,7,2025,80,64,72,4.37,85,23,0.33
253,253,7,2025,134,120,85,4.41,256,43,0.64
254,254,7,2025,109,89,23,4.32,173,38,0.36
255,255,7,2025,224,188,41,4.13,237,39,0.31
256,256,7,2025,165,136,87,4.63,96,16,0.43
257,257,7,2025,266,225,85,4.07,208,16,0.35
258,258,7,2025,262,248,80,3.75,217,31,0.66
259,259,7,2025,243,203,90,3.54,260,26,0.55
260,260,7,2025,214,187,24,4.63,198,47,0.62
261,261,7,2025,280,233,70,4.3,229,34,0.62
262,262,7,2025,129,106,62,3.71,198,35,0.61
263,263,7,2025,158,146,69,4.76,294,33,0.43
264,264,7,2025,341,319,71,4.32,196,32,0.69
265,265,7,2025,189,168,42,4.51,217,48,0.68
266,266,7,2025,170,143,40,3.68,239,36,0.41
267,267,7,2025,324,307,53,3.61,229,49,0.59
268,268,7,2025,226,185,40,4.47,134,26,0.65
269,269,7,2025,175,165,89,3.52,153,37,0.57
270,270,7,2025,131,120,48,4.33,139,43,0.45
271,271,7,2025,98,84,33,4.29,296,46,0.39
272,272,7,2025,299,250,22,4.32,156,20,0.57
273,273,7,2025,200,165,86,4.12,104,14,0.52
274,274,7,2025,109,96,58,4.65,163,21,0.6
275,275,7,2025,247,219,75,4.41,153,43,0.59
276,276,7,2025,135,111,46,3.71,120,38,0.37
277,277,7,2025,300,258,27,4.51,225,35,0.39
278,278,7,2025,241,197,46,3.52,218,13,0.47
279,279,7,2025,265,244,75,3.98,131,35,0.51
280,280,7,2025,337,295,49,4.18,159,36,0.57
281,281,7,2025,219,178,83,4.39,115,48,0.39
282,282,7,2025,291,240,80,4.08,280,50,0.36
283,283,7,2025,163,131,41,4.25,282,27,0.65
284,284,7,2025,112,100,89,4.52,80,35,0.67
285,285,7,2025,198,186,65,4.16,281,16,0.39
286,286,7,2025,279,229,58,4.44,117,41,0.34
287,287,7,2025,142,119,52,4.59,137,35,0.59
288,288,7,2025,294,255,76,4.33,164,16,0.4
289,289,7,2025,84,79,50,4.15,193,10,0.46
290,290,7,2025,168,139,63,4.46,97,48,0.6
291,291,7,2025,289,255,63,4.46,84,15,0.59
292,292,7,2025,159,143,72,4.57,262,18,0.35
293,293,7,2025,331,304,48,3.67,243,29,0.67
294,294,7,2025,224,191,67,4.0,298,30,0.45
295,295,7,2025,310,254,75,4.73,85,15,0.49
296,296,7,2025,156,133,80,4.25,108,32,0.44
297,297,7,2025,116,95,56,4.04,278,33,0.44
298,298,7,2025,223,182,58,4.55,179,23,0.47
299,299,7,2025,95,77,32,3.76,198,12,0.58
300,300,7,2025,176,166,23,4.79,93,33,0.69
301,1,6,2025,490,403,42,4.01,143,13,0.56
302,2,6,2025,299,274,86,4.75,241,27,0.34
303,3,6,2025,451,395,22,4.21,85,24,0.32
304,4,6,2025,296,248,32,4.71,188,13,0.31
305,5,6,2025,372,306,90,4.26,238,10,0.38
306,6,6,2025,359,313,55,4.3,139,19,0.37
307,7,6,2025,454,421,45,3.8,287,38,0.56
308,8,6,2025,354,312,71,4.11,200,17,0.65
309,9,6,2025,404,378,39,4.67,171,42,0.45
310,10,6,2025,214,188,72,4.49,294,48,0.43
311,11,6,2025,125,109,34,4.0,100,36,0.5
312,12,6,2025,379,308,68,4.11,268,50,0.55
313,13,6,2025,219,205,29,4.09,150,21,0.51
314,14,6,2025,170,151,76,4.4,119,44,0.48
315,15,6,2025,308,286,20,4.22,252,32,0.48
316,16,6,2025,344,293,39,3.88,233,17,0.43
317,17,6,2025,372,325,33,3.52,235,17,0.34
318,18,6,2025,186,150,25,3.55,253,37,0.34
319,19,6,2025,306,283,48,3.76,294,13,0.47
320,20,6,2025,450,370,34,4.03,277,34,0.37
321,21,6,2025,347,302,32,3.9,158,33,0.44
322,22,6,2025,104,85,69,4.54,205,48,0.37
323,23,6,2025,425,397,69,4.34,151,32,0.69
324,24,6,2025,154,133,41,4.48,237,37,0.5
325,25,6,2025,125,116,83,3.59,288,32,0.66
326,26,6,2025,239,215,20,4.61,98,40,0.59
327,27,6,2025,442,384,58,3.61,245,48,0.39
328,28,6,2025,170,143,42,4.12,122,12,0.42
329,29,6,2025,106,99,81,4.09,114,22,0.61
330,30,6,2025,206,173,75,4.16,109,44,0.64
331,31,6,2025,389,317,36,4.61,254,31,0.57
332,32,6,2025,250,232,20,4.53,260,49,0.6
333,33,6,2025,401,326,31,4.57,142,28,0.46
334,34,6,2025,141,127,82,4.44,94,24,0.54
335,35,6,2025,378,359,40,4.53,153,39,0.57
336,36,6,2025,163,145,40,3.82,257,31,0.53
337,37,6,2025,209,197,32,4.62,120,44,0.44
338,38,6,2025,430,344,81,3.53,291,29,0.45
339,39,6,2025,148,118,60,4.39,171,27,0.61
340,40,6,2025,411,376,58,4.41,235,12,0.55
341,41,6,2025,149,139,48,4.8,237,15,0.46
342,42,6,2025,133,110,64,4.65,141,32,0.47
343,43,6,2025,306,266,30,3.82,119,48,0.57
344,44,6,2025,471,381,49,3.92,219,20,0.34
345,45,6,2025,463,418,27,3.83,288,47,0.35
346,46,6,2025,252,203,79,3.63,294,37,0.34
347,47,6,2025,211,189,38,4.25,246,41,0.59
348,48,6,2025,185,166,32,3.55,154,38,0.53
349,49,6,2025,483,427,84,4.49,232,33,0.45
350,50,6,2025,154,127,77,4.55,197,34,0.69
351,51,6,2025,431,370,39,4.1,158,10,0.5
352,52,6,2025,492,395,27,4.21,146,48,0.39
353,53,6,2025,167,141,82,4.44,224,25,0.58
354,54,6,2025,307,264,39,3.95,198,18,0.43
355,55,6,2025,345,316,49,3.6,218,46,0.35
356,56,6,2025,218,189,85,3.7,263,42,0.53
357,57,6,2025,119,112,64,4.77,137,15,0.51
358,58,6,2025,254,231,39,4.27,146,18,0.68
359,59,6,2025,380,320,83,3.78,220,27,0.62
360,60,6,2025,233,195,72,4.09,133,35,0.68
361,61,6,2025,195,180,38,4.65,277,12,0.63
362,62,6,2025,141,130,70,3.91,207,38,0.46
363,63,6,2025,258,219,42,4.73,146,42,0.38
364,64,6,2025,348,306,25,4.09,126,35,0.62
365,65,6,2025,182,146,40,4.42,181,32,0.64
366,66,6,2025,460,436,63,4.66,239,38,0.58
367,67,6,2025,438,384,26,3.69,104,10,0.53
368,68,6,2025,177,164,44,4.03,140,35,0.36
369,69,6,2025,457,390,29,3.99,117,43,0.55
370,70,6,2025,296,255,40,4.78,223,37,0.42
371,71,6,2025,375,300,30,4.58,205,26,0.6
372,72,6,2025,411,374,54,3.85,191,19,0.55
373,73,6,2025,479,408,86,4.51,159,33,0.31
374,74,6,2025,440,405,36,3.62,140,28,0.33
375,75,6,2025,435,364,48,4.61,143,39,0.39
376,76,6,2025,342,278,55,3.93,248,17,0.52
377,77,6,2025,177,167,49,4.25,266,22,0.39
378,78,6,2025,280,248,42,4.6,230,19,0.32
379,79,6,2025,132,107,53,4.16,172,37,0.65
380,80,6,2025,289,252,25,3.65,284,26,0.49
381,81,6,2025,155,136,43,4.15,169,32,0.57
382,82,6,2025,246,211,74,3.97,93,42,0.57
383,83,6,2025,375,313,73,3.97,209,36,0.59
384,84,6,2025,242,202,85,3.77,297,44,0.64
385,85,6,2025,107,95,45,4.66,214,14,0.37
386,86,6,2025,127,105,65,4.31,113,28,0.68
387,87,6,2025,499,458,40,4.55,142,42,0.45
388,88,6,2025,133,112,81,3.89,124,23,0.54
389,89,6,2025,473,397,56,3.89,210,43,0.43
390,90,6,2025,115,108,21,3.97,199,42,0.45
391,91,6,2025,263,221,79,4.33,92,29,0.58
392,92,6,2025,227,213,24,4.41,241,30,0.32
393,93,6,2025,419,392,25,3.56,87,16,0.48
394,94,6,2025,438,414,50,3.67,149,30,0.32
395,95,6,2025,268,225,69,3.76,286,10,0.33
396,96,6,2025,198,179,43,4.51,135,38,0.4
397,97,6,2025,190,171,34,4.71,202,32,0.42
398,98,6,2025,196,174,61,4.73,116,20,0.63
399,99,6,2025,415,391,51,3.74,204,14,0.37
400,100,6,2025,497,453,63,4.61,187,41,0.36
401,101,6,2025,367,347,38,4.16,209,48,0.67
402,102,6,2025,289,267,49,3.58,277,15,0.67
403,103,6,2025,444,382,44,4.22,298,20,0.67
404,104,6,2025,371,300,55,4.63,244,48,0.45
405,105,6,2025,282,258,70,4.42,145,16,0.55
406,106,6,2025,297,250,60,4.69,196,26,0.35
407,107,6,2025,108,96,25,3.93,92,10,0.4
408,108,6,2025,403,365,83,4.37,250,37,0.47
409,109,6,2025,476,421,66,4.01,294,45,0.59
410,110,6,2025,384,363,82,4.38,158,14,0.39
411,111,6,2025,364,305,87,3.77,193,15,0.52
412,112,6,2025,391,313,30,3.63,298,25,0.44
413,113,6,2025,322,262,86,4.69,166,38,0.52
414,114,6,2025,455,400,36,3.66,86,18,0.51
415,115,6,2025,407,373,31,4.43,263,43,0.63
416,116,6,2025,275,251,47,3.76,220,47,0.54
417,117,6,2025,205,182,39,3.55,191,15,0.31
418,118,6,2025,486,410,86,4.37,172,41,0.64
419,119,6,2025,489,459,61,3.8,113,39,0.51
420,120,6,2025,261,216,35,4.01,229,28,0.59
421,121,6,2025,148,126,51,4.39,185,50,0.7
422,122,6,2025,468,438,70,3.67,189,25,0.49
423,123,6,2025,304,250,60,4.51,275,20,0.68
424,124,6,2025,288,241,75,3.52,169,29,0.54
425,125,6,2025,439,369,77,4.23,266,22,0.31
426,126,6,2025,453,383,67,3.66,154,46,0.42
427,127,6,2025,477,430,51,3.85,120,34,0.44
428,128,6,2025,445,368,85,4.05,227,10,0.37
429,129,6,2025,342,316,67,4.48,199,31,0.51
430,130,6,2025,234,192,82,3.56,148,41,0.45
431,131,6,2025,379,344,63,3.97,125,19,0.59
432,132,6,2025,104,95,62,3.63,258,26,0.59
433,133,6,2025,345,280,77,3.78,242,35,0.41
434,134,6,2025,401,330,66,4.5,249,36,0.56
435,135,6,2025,385,346,22,3.8,264,47,0.45
436,136,6,2025,330,287,62,4.68,178,42,0.31
437,137,6,2025,154,138,31,4.72,253,42,0.53
438,138,6,2025,279,229,46,4.49,118,14,0.62
439,139,6,2025,405,339,29,4.03,281,45,0.35
440,140,6,2025,303,271,33,4.41,264,39,0.66
441,141,6,2025,436,403,68,4.69,280,17,0.55
442,142,6,2025,259,232,40,4.34,131,39,0.32
443,143,6,2025,212,169,23,3.67,293,34,0.45
444,144,6,2025,256,215,88,4.46,286,13,0.3
445,145,6,2025,288,263,33,3.96,180,45,0.69
446,146,6,2025,237,193,64,4.28,174,20,0.36
447,147,6,2025,186,158,30,4.35,97,25,0.61
448,148,6,2025,460,436,54,4.74,149,11,0.53
449,149,6,2025,365,335,47,4.35,239,49,0.61
450,150,6,2025,169,141,30,3.69,115,13,0.59
451,151,6,2025,132,122,27,3.92,276,50,0.39
452,152,6,2025,279,261,49,4.37,108,38,0.35
453,153,6,2025,393,357,74,4.0,99,18,0.45
454,154,6,2025,256,235,25,4.09,126,29,0.59
455,155,6,2025,249,213,84,4.25,119,26,0.31
456,156,6,2025,420,365,45,4.0,195,37,0.61
457,157,6,2025,352,311,67,3.66,257,21,0.47
458,158,6,2025,288,265,38,4.25,269,43,0.39
459,159,6,2025,312,271,51,4.44,193,15,0.46
460,160,6,2025,414,343,73,3.92,297,41,0.59
461,161,6,2025,450,402,90,4.71,180,13,0.62
462,162,6,2025,183,169,48,3.96,124,45,0.54
463,163,6,2025,243,219,26,3.73,250,15,0.58
464,164,6,2025,235,197,64,3.89,119,16,0.58
465,165,6,2025,117,94,51,3.6,134,46,0.61
466,166,6,2025,401,344,79,4.01,275,49,0.64
467,167,6,2025,191,162,63,4.45,276,21,0.61
468,168,6,2025,464,413,22,4.55,115,34,0.37
469,169,6,2025,412,365,32,4.71,137,25,0.31
470,170,6,2025,457,375,79,3.9,162,42,0.54
471,171,6,2025,209,175,81,3.62,185,12,0.39
472,172,6,2025,459,374,25,4.19,117,36,0.39
473,173,6,2025,308,273,24,3.71,245,25,0.66
474,174,6,2025,367,296,41,4.72,161,34,0.35
475,175,6,2025,157,143,70,4.75,113,35,0.63
476,176,6,2025,221,190,83,4.78,300,29,0.57
477,177,6,2025,404,347,89,4.17,210,46,0.36
478,178,6,2025,105,91,38,4.0,205,41,0.51
479,179,6,2025,261,228,48,4.31,238,17,0.49
480,180,6,2025,341,322,64,4.79,180,11,0.38
481,181,6,2025,374,318,34,4.32,276,49,0.47
482,182,6,2025,444,370,78,4.09,199,24,0.41
483,183,6,2025,337,292,80,4.16,120,38,0.59
484,184,6,2025,156,139,29,4.21,193,13,0.52
485,185,6,2025,165,143,42,4.77,268,37,0.47
486,186,6,2025,184,171,48,4.0,152,33,0.38
487,187,6,2025,116,102,86,4.27,284,44,0.3
488,188,6,2025,153,142,38,4.01,219,39,0.38
489,189,6,2025,369,301,53,4.42,234,43,0.67
490,190,6,2025,316,277,60,4.08,273,45,0.64
491,191,6,2025,125,104,25,4.69,231,44,0.32
492,192,6,2025,304,253,25,3.66,99,42,0.42
493,193,6,2025,285,260,35,4.01,235,33,0.38
494,194,6,2025,444,363,46,4.73,199,31,0.38
495,195,6,2025,386,321,31,4.09,283,26,0.45
496,196,6,2025,318,292,64,4.35,200,19,0.57
497,197,6,2025,193,154,74,4.76,95,46,0.4
498,198,6,2025,410,370,41,3.56,106,16,0.65
499,199,6,2025,265,226,51,4.16,288,47,0.63
500,200,6,2025,267,239,37,4.25,252,22,0.69
501,201,6,2025,320,291,52,4.31,296,30,0.31
502,202,6,2025,471,387,42,4.59,263,20,0.47
503,203,6,2025,164,146,21,3.91,207,47,0.57
504,204,6,2025,446,360,80,3.66,105,18,0.38
505,205,6,2025,458,411,86,4.77,137,22,0.37
506,206,6,2025,333,298,27,4.53,151,24,0.68
507,207,6,2025,397,366,90,4.25,226,43,0.36
508,208,6,2025,451,406,41,4.76,175,21,0.45
509,209,6,2025,285,247,55,3.54,168,44,0.63
510,210,6,2025,226,181,84,4.18,84,12,0.65
511,211,6,2025,444,405,64,4.46,168,49,0.39
