id,age,genre,situation_familiale,niveau_numerique,code_postal,ville,date_inscription,frequence_visite
67,75,M,concubinage,intermediaire,71594,Legendre-sur-Mer,2023-10-10,occasionnel
68,29,F,celibataire,intermediaire,14222,Renault-sur-Deschamps,2024-07-17,regulier
69,53,F,divorce,intermediaire,08220,Sainte Sophie,2024-12-14,occasionnel
70,54,M,veuf,avance,79914,Roussel-les-Bains,2024-01-10,nouveau
71,68,M,celibataire,intermediaire,87858,Lacroix-la-Forêt,2024-07-30,nouveau
72,22,F,concubinage,debutant,60825,Dos Santosboeuf,2025-06-05,nouveau
73,40,F,celibataire,intermediaire,20503,Mercier,2025-03-06,nouveau
74,31,F,marie,intermediaire,46652,Fontaine-sur-Pasquier,2024-01-17,regulier
75,77,F,marie,intermediaire,47954,Saint FrédériqueVille,2024-01-11,occasionnel
76,44,F,marie,intermediaire,73141,Lecoq,2024-01-14,occasionnel
77,40,M,concubinage,intermediaire,80564,Guillaume,2025-05-05,regulier
78,28,M,concubinage,avance,60762,Weiss,2023-09-07,occasionnel
79,50,M,divorce,debutant,94391,Guillot,2024-04-08,nouveau
80,42,M,veuf,debutant,19159,Dupuy,2025-03-30,regulier
81,58,M,celibataire,intermediaire,23214,Delorme,2025-05-04,occasionnel
82,53,F,concubinage,debutant,31293,Barthelemy,2023-11-01,nouveau
83,80,M,concubinage,intermediaire,42174,Rémy,2025-02-23,nouveau
84,61,F,concubinage,avance,60193,Sainte Laurenceboeuf,2025-01-24,nouveau
85,68,M,concubinage,avance,85355,BesnardVille,2025-04-12,regulier
86,25,F,concubinage,intermediaire,22890,Lebon,2024-07-13,nouveau
87,62,F,celibataire,intermediaire,15827,Marienec,2025-06-01,nouveau
88,21,M,marie,debutant,47483,LambertBourg,2023-08-24,regulier
89,33,M,marie,intermediaire,52790,Lelièvreboeuf,2024-11-09,occasionnel
90,43,F,concubinage,intermediaire,55538,Aubry-les-Bains,2023-09-19,nouveau
91,58,F,divorce,intermediaire,13685,Saint Luce-les-Bains,2023-12-23,regulier
92,33,M,veuf,debutant,16150,Sainte Océane-les-Bains,2024-04-13,regulier
93,60,M,marie,avance,80546,Fernandez,2024-02-23,regulier
94,76,F,veuf,debutant,40604,Guichard,2024-01-03,nouveau
95,50,M,veuf,intermediaire,19783,Seguin,2024-08-06,regulier
96,80,M,divorce,avance,73698,Sainte ManonBourg,2024-09-20,occasionnel
97,81,M,divorce,intermediaire,26386,Perrin-sur-Mer,2023-08-12,regulier
98,25,F,celibataire,debutant,36640,Marques,2025-02-25,occasionnel
99,77,M,veuf,intermediaire,53995,BouvetVille,2023-11-03,regulier
100,36,F,marie,avance,62313,Reynaud,2025-07-08,nouveau
101,52,M,celibataire,debutant,90147,Roux,2025-06-26,occasionnel
102,49,M,concubinage,avance,97665,Sainte HonoréBourg,2024-09-01,nouveau
103,69,M,divorce,intermediaire,30845,Peltier-la-Forêt,2023-08-07,regulier
104,67,M,marie,avance,97435,Mace-sur-Gillet,2024-07-20,occasionnel
105,67,F,celibataire,intermediaire,50652,Lefèvre,2023-09-10,regulier
106,50,M,concubinage,intermediaire,88618,Bouvier,2025-06-11,occasionnel
107,23,F,divorce,debutant,65497,Ferrand-sur-Hamel,2023-09-17,occasionnel
108,40,F,marie,debutant,78755,Lelièvre,2023-12-27,occasionnel
109,64,F,divorce,debutant,26521,Saint Michelle,2023-08-28,occasionnel
110,57,M,celibataire,debutant,20589,Saint Benjamin-sur-Mer,2024-08-28,occasionnel
111,34,F,divorce,avance,77127,Toussaint,2024-11-24,regulier
112,25,F,celibataire,debutant,20313,Texier,2023-10-10,regulier
113,56,F,divorce,avance,89365,Saint Denis,2024-02-29,occasionnel
114,23,M,divorce,intermediaire,61507,Martyboeuf,2024-06-05,regulier
115,21,M,divorce,avance,50762,Faure,2025-01-05,occasionnel
116,76,F,concubinage,intermediaire,81674,ReynaudVille,2024-09-02,regulier
117,45,M,marie,debutant,33644,Guillou,2025-01-18,occasionnel
118,67,F,celibataire,debutant,15142,Prévost,2025-04-14,nouveau
119,76,F,veuf,avance,58854,Sainte Luc,2025-04-09,occasionnel
120,77,F,concubinage,avance,94544,Adam,2025-03-02,occasionnel
121,64,F,concubinage,debutant,78395,Samson,2025-04-03,nouveau
122,47,M,divorce,avance,03499,Baron-sur-Foucher,2024-04-24,nouveau
123,35,M,veuf,avance,20244,Lemoinedan,2025-05-18,nouveau
124,58,M,veuf,intermediaire,92271,Ferreira,2023-12-23,regulier
125,76,M,divorce,intermediaire,13611,Colas,2025-06-08,occasionnel
126,66,F,marie,intermediaire,73367,Andre-sur-Auger,2023-09-11,nouveau
127,76,F,concubinage,debutant,37434,Dumas,2024-12-07,regulier
128,25,F,celibataire,intermediaire,09922,Guibertdan,2024-08-07,nouveau
129,30,F,marie,debutant,70873,Carre-la-Forêt,2024-09-07,occasionnel
130,53,M,marie,intermediaire,97441,Saint André-la-Forêt,2024-08-21,regulier
131,27,M,celibataire,intermediaire,38198,Lefebvre,2023-07-23,occasionnel
132,72,F,divorce,avance,33169,Hamon,2023-11-03,regulier
133,49,M,celibataire,intermediaire,45512,Sainte Alain,2024-05-29,regulier
134,54,M,celibataire,intermediaire,58319,Dumont-sur-Traore,2024-04-19,occasionnel
135,42,F,veuf,debutant,88442,Julien,2023-11-07,occasionnel
136,79,M,veuf,debutant,69377,Sainte Joseph-sur-Mer,2024-02-09,regulier
137,19,M,concubinage,debutant,87770,Valette,2024-11-28,nouveau
138,59,M,concubinage,intermediaire,94405,PineauBourg,2023-08-07,nouveau
139,51,M,celibataire,avance,85270,Jacques,2024-04-24,occasionnel
140,72,M,celibataire,debutant,60233,Hardy-sur-Pereira,2024-06-23,nouveau
141,60,F,concubinage,avance,40989,GuilbertVille,2024-11-29,regulier
142,62,M,celibataire,avance,24443,Labbé-la-Forêt,2024-07-09,regulier
143,79,M,marie,avance,33136,CoulonBourg,2025-03-05,nouveau
144,72,M,marie,intermediaire,68362,Aubry-sur-Leconte,2025-03-27,regulier
145,37,M,celibataire,intermediaire,47605,Saint JacquesBourg,2023-12-22,regulier
146,67,M,concubinage,debutant,84840,Sainte Brigitte,2024-08-26,occasionnel
147,22,F,marie,intermediaire,95254,Leleu-les-Bains,2024-03-06,occasionnel
148,66,F,celibataire,debutant,64364,Picard,2025-07-07,regulier
149,66,M,marie,avance,38837,Léger,2025-06-14,nouveau
150,23,F,divorce,debutant,88961,DanielBourg,2023-11-10,nouveau
151,31,M,concubinage,avance,27227,Saint Luc,2025-07-04,regulier
152,40,M,celibataire,intermediaire,97649,Bouchetdan,2025-01-17,occasionnel
153,84,M,celibataire,avance,08356,JulienBourg,2024-01-10,occasionnel
154,59,F,marie,avance,89857,Gimenez,2025-03-17,nouveau
155,63,M,veuf,debutant,73367,Saint Susanboeuf,2024-03-13,occasionnel
156,51,F,celibataire,intermediaire,17128,Lévêque,2024-09-24,occasionnel
157,51,M,celibataire,intermediaire,47779,Saint Alix,2025-01-19,regulier
158,39,M,celibataire,avance,64867,Mathieunec,2024-03-14,regulier
159,74,M,veuf,intermediaire,05333,Saint Julie,2024-12-05,regulier
160,24,M,celibataire,intermediaire,02303,Delmasboeuf,2025-02-07,nouveau
161,25,M,concubinage,debutant,29392,Bernier-sur-Mary,2025-07-01,occasionnel
162,26,F,concubinage,intermediaire,47714,Verdier,2024-01-14,occasionnel
163,84,F,celibataire,avance,79738,Sainte Jeanne,2023-09-23,occasionnel
164,41,M,divorce,debutant,13545,Saint Aimé-sur-Mer,2024-10-14,regulier
165,27,F,divorce,avance,87301,Saint René,2025-03-05,nouveau
166,76,F,divorce,avance,81151,Gaillard,2023-10-05,occasionnel
167,29,F,concubinage,intermediaire,92624,Reyboeuf,2023-09-20,occasionnel
168,54,F,celibataire,intermediaire,97277,Galletboeuf,2025-01-17,regulier
169,28,F,divorce,debutant,91170,Lamyboeuf,2025-01-21,occasionnel
170,83,F,celibataire,intermediaire,27885,Labbé,2024-06-18,occasionnel
171,48,M,concubinage,avance,57754,Adam,2025-02-27,nouveau
172,26,M,veuf,avance,14623,DescampsBourg,2025-04-06,occasionnel
173,31,F,celibataire,avance,62964,Bonnin,2023-09-06,nouveau
174,60,F,concubinage,intermediaire,37745,Lacombe-les-Bains,2023-09-07,regulier
175,64,M,celibataire,avance,52930,Delahaye,2025-03-22,nouveau
176,59,M,celibataire,debutant,27638,Philippe,2024-09-16,nouveau
177,53,F,divorce,avance,68460,Lopesnec,2024-06-25,nouveau
178,30,F,veuf,intermediaire,60344,Saint Benoît,2023-08-02,regulier
179,77,F,celibataire,debutant,07955,Maillet,2024-08-31,nouveau
180,57,M,concubinage,intermediaire,51491,GuyonVille,2024-07-20,occasionnel
181,75,M,veuf,avance,33868,Carlier,2023-12-22,occasionnel
182,68,M,veuf,intermediaire,97699,Gillet,2025-01-19,occasionnel
183,27,F,divorce,avance,08258,Sainte Laurence,2024-10-04,occasionnel
184,61,M,marie,debutant,66127,Courtois,2024-06-28,regulier
185,27,M,divorce,debutant,05632,Saint Paul,2025-03-09,occasionnel
186,31,F,divorce,intermediaire,67547,Chevalier,2023-08-02,occasionnel
187,81,M,celibataire,avance,06805,Perret,2024-02-05,occasionnel
188,72,M,divorce,intermediaire,70879,Letellier-la-Forêt,2025-05-21,nouveau
189,68,F,marie,intermediaire,02111,Le Gall,2025-06-19,nouveau
190,58,F,divorce,debutant,15127,Lesage,2025-04-13,regulier
191,59,F,concubinage,debutant,30395,Fournier,2024-09-26,occasionnel
192,64,M,divorce,intermediaire,54443,Rivière,2023-12-12,regulier
193,19,F,divorce,intermediaire,02212,Sainte Nicolas,2024-04-08,regulier
194,51,F,concubinage,avance,77160,Bonneau,2024-02-07,occasionnel
195,18,F,marie,debutant,85597,Blanc-les-Bains,2024-06-24,regulier
196,81,M,divorce,debutant,78158,Barbe,2025-07-05,regulier
197,52,M,marie,avance,25840,Lecoq-sur-Evrard,2025-01-30,occasionnel
198,25,F,concubinage,debutant,11515,Olliviernec,2024-09-11,occasionnel
199,79,F,divorce,intermediaire,19167,Bonninboeuf,2023-10-27,regulier
200,44,M,celibataire,debutant,81586,Lefèvre,2024-03-08,regulier
201,78,M,marie,intermediaire,97245,Grenier-sur-Gros,2025-01-11,nouveau
202,56,F,divorce,debutant,94751,Lopes-sur-Chauveau,2023-08-01,nouveau
203,75,M,veuf,debutant,04840,Paris,2025-02-10,nouveau
204,79,M,veuf,debutant,30798,Gaillard,2023-12-14,regulier
205,53,F,concubinage,avance,02292,Pineau,2023-10-20,occasionnel
206,26,F,divorce,debutant,90490,Paul,2023-10-12,nouveau
207,25,F,marie,intermediaire,56673,Fabre,2025-04-11,regulier
208,43,F,veuf,intermediaire,06201,Saint Maryse,2025-04-09,occasionnel
209,51,M,veuf,intermediaire,97637,Sainte Hélène,2025-04-25,nouveau
210,50,F,veuf,intermediaire,71909,Leroy,2023-10-19,nouveau
211,24,M,concubinage,intermediaire,21812,RocherBourg,2025-02-25,occasionnel
212,66,M,marie,avance,29611,Deschamps,2025-02-11,occasionnel
213,47,F,celibataire,avance,32446,Saint Suzanne,2025-05-03,occasionnel
214,72,M,marie,debutant,51231,Deschamps,2025-01-16,regulier
215,43,M,divorce,avance,45407,Lopez-la-Forêt,2023-07-26,regulier
216,39,F,concubinage,avance,32711,Saint Frédérique,2024-04-25,regulier
217,48,F,divorce,avance,16927,Leconte-sur-Bousquet,2023-09-28,regulier
218,60,M,celibataire,intermediaire,21235,Chevallier-sur-Weiss,2025-06-03,nouveau
219,49,M,concubinage,debutant,17474,Grenier,2024-11-11,occasionnel
220,40,F,divorce,debutant,40367,Morin,2024-07-25,nouveau
221,83,M,marie,debutant,22400,Dumas,2025-04-10,nouveau
222,37,M,marie,debutant,20708,Perret,2025-05-05,nouveau
223,72,F,veuf,intermediaire,88773,Clément,2025-05-18,occasionnel
224,19,F,veuf,intermediaire,87873,Weber,2024-11-02,nouveau
225,50,M,marie,debutant,49463,Peron-sur-Lopez,2025-02-22,occasionnel
226,54,F,divorce,intermediaire,35457,Chauvin-sur-Huet,2024-04-25,nouveau
227,24,F,concubinage,avance,48726,Lecoq,2024-04-06,nouveau
228,29,M,concubinage,avance,10226,Lévy,2024-09-03,nouveau
229,84,M,marie,debutant,93331,Sauvage,2024-06-28,regulier
230,46,M,celibataire,intermediaire,68335,Gérard,2023-11-24,nouveau
231,24,F,concubinage,avance,35759,Marinnec,2024-07-11,regulier
232,57,M,divorce,avance,33636,PetitBourg,2024-03-05,nouveau
233,47,M,divorce,avance,41596,Saint Denise,2024-03-20,regulier
234,49,M,divorce,intermediaire,21977,Bousquet,2023-12-16,occasionnel
235,84,F,veuf,debutant,97210,Masseboeuf,2025-05-03,nouveau
236,73,M,concubinage,intermediaire,90169,Lefort,2023-12-02,regulier
237,37,F,veuf,avance,69329,Parent-sur-Mer,2024-08-18,occasionnel
238,57,F,concubinage,debutant,56812,Albert,2024-06-23,occasionnel
239,50,F,divorce,intermediaire,12890,Breton-la-Forêt,2023-11-29,nouveau
240,49,F,celibataire,avance,38226,Saint Susannedan,2024-10-30,occasionnel
241,68,M,celibataire,avance,14337,Delmasboeuf,2023-09-11,regulier
242,76,F,divorce,avance,84250,Vincentnec,2024-11-03,nouveau
243,52,M,marie,intermediaire,61285,Hamon,2023-08-05,nouveau
244,72,M,concubinage,intermediaire,85294,MaceVille,2023-10-04,regulier
245,51,M,divorce,debutant,23249,Le Roux,2024-05-18,regulier
246,67,F,marie,avance,89346,Pottier,2024-02-16,occasionnel
247,51,F,veuf,avance,29454,Royer,2023-11-15,nouveau
248,68,F,celibataire,debutant,01700,Sainte Benoît-sur-Mer,2025-02-08,occasionnel
249,57,F,divorce,intermediaire,87245,GilbertVille,2024-09-24,occasionnel
250,32,F,concubinage,debutant,46936,Ferrandnec,2024-08-03,occasionnel
251,45,F,celibataire,debutant,20365,Boutin,2024-12-23,regulier
252,49,F,marie,intermediaire,09551,Navarronec,2024-02-01,occasionnel
253,46,F,celibataire,intermediaire,22189,Durand,2024-06-15,occasionnel
254,59,F,concubinage,intermediaire,26486,Renard,2025-01-23,nouveau
255,53,F,concubinage,intermediaire,09626,Antoine,2025-03-10,nouveau
256,46,F,concubinage,intermediaire,01903,Guillot-sur-Mer,2024-12-31,occasionnel
257,27,M,concubinage,debutant,07675,Ferreira,2024-10-23,regulier
258,27,M,celibataire,intermediaire,71470,Payet,2025-07-06,occasionnel
259,43,M,concubinage,intermediaire,38151,Lefebvre,2024-04-24,occasionnel
260,78,F,veuf,avance,92181,Barbier,2024-03-12,occasionnel
261,22,M,divorce,debutant,01701,Duval,2024-01-08,occasionnel
262,43,M,marie,intermediaire,75642,Lopez,2023-12-03,occasionnel
263,48,M,celibataire,debutant,02953,Barbier,2024-05-23,occasionnel
264,49,M,concubinage,intermediaire,94490,Saint Étienneboeuf,2023-09-06,nouveau
265,85,F,divorce,intermediaire,37455,Wagner,2025-05-08,regulier
266,81,F,concubinage,avance,77186,Rodriguesdan,2025-05-26,regulier
267,71,M,veuf,intermediaire,29770,RiouBourg,2024-01-19,nouveau
268,30,M,veuf,intermediaire,50960,Schmitt,2023-09-10,regulier
269,82,F,marie,avance,40392,Bouvier-sur-Colas,2024-09-28,nouveau
270,81,F,divorce,avance,39466,Saint Élodienec,2024-06-23,nouveau
271,22,M,concubinage,avance,97346,Leduc,2025-03-03,regulier
272,77,F,veuf,intermediaire,80757,Marion-les-Bains,2024-07-29,occasionnel
273,60,F,marie,intermediaire,69814,Vasseur-sur-Mathieu,2025-01-27,nouveau
274,42,M,celibataire,intermediaire,05720,Lamy-sur-Pierre,2023-12-20,nouveau
275,25,F,divorce,intermediaire,71454,Hernandez-sur-Mer,2025-02-04,regulier
276,26,F,veuf,intermediaire,08357,Duval,2025-04-04,nouveau
277,23,F,concubinage,intermediaire,51688,Moreno,2024-09-02,nouveau
278,68,M,veuf,avance,97350,Allard-sur-Mer,2025-03-24,nouveau
279,58,F,marie,intermediaire,43384,MenardBourg,2025-02-10,nouveau
280,78,M,celibataire,debutant,97267,PonsVille,2025-02-04,regulier
281,62,F,celibataire,avance,45698,Pons,2024-07-06,occasionnel
282,85,F,divorce,avance,87417,Martin,2025-03-15,regulier
283,50,F,concubinage,avance,54370,DidierBourg,2025-06-29,regulier
284,41,M,concubinage,intermediaire,20564,Sainte Céline-les-Bains,2024-10-07,regulier
285,48,M,veuf,avance,70663,Mathieu,2025-06-04,nouveau
286,24,F,veuf,avance,25184,Sainte Éléonore-sur-Mer,2024-01-09,regulier
287,46,M,divorce,avance,10387,Masson-la-Forêt,2023-12-04,regulier
288,23,F,marie,debutant,01274,Aubry,2025-03-07,occasionnel
289,46,F,marie,avance,77260,Petit,2024-01-26,nouveau
290,65,M,divorce,avance,86662,Peltier-sur-Moreau,2024-01-27,regulier
291,82,F,divorce,avance,55675,Bodin,2023-08-25,nouveau
292,34,F,veuf,intermediaire,84591,Saint Guy-les-Bains,2024-12-01,nouveau
293,20,M,celibataire,debutant,37361,Laurentnec,2025-02-15,regulier
294,42,F,celibataire,intermediaire,57104,Blanchet,2025-03-06,nouveau
295,79,F,celibataire,intermediaire,67633,Cordier,2024-05-09,occasionnel
296,27,F,divorce,debutant,03953,Delattre-les-Bains,2024-06-23,nouveau
297,68,M,celibataire,debutant,42565,Sainte Aurélie,2024-08-25,regulier
298,42,M,concubinage,avance,71298,Legros,2025-05-12,occasionnel
299,38,F,veuf,intermediaire,86396,Lopes,2025-06-05,regulier
300,57,M,divorce,intermediaire,63520,Chrétien,2024-10-19,regulier
301,26,F,divorce,debutant,86338,Moulindan,2025-03-12,nouveau
302,85,M,celibataire,avance,27644,Sainte Auguste,2024-03-12,occasionnel
303,83,M,marie,avance,36319,Le RouxBourg,2025-05-25,nouveau
304,53,M,divorce,intermediaire,54505,Poulainboeuf,2024-01-25,nouveau
305,51,F,celibataire,intermediaire,40277,Guillaumedan,2023-11-10,regulier
306,24,F,divorce,intermediaire,88607,Briand,2023-11-18,nouveau
307,30,F,celibataire,avance,97392,Saint Frédéric,2024-03-26,occasionnel
308,59,M,concubinage,debutant,05666,Martel,2024-04-19,nouveau
309,40,M,marie,debutant,67333,DumontBourg,2024-02-13,nouveau
310,52,M,celibataire,debutant,88829,MaryVille,2023-11-14,nouveau
311,27,M,veuf,intermediaire,95810,Lacroix,2024-10-07,regulier
312,80,F,concubinage,debutant,52454,Toussaintnec,2023-09-05,nouveau
313,27,F,veuf,avance,80953,Da Costa,2024-04-03,occasionnel
314,44,M,divorce,avance,64101,Reynaud,2024-07-20,regulier
315,54,M,celibataire,intermediaire,12230,Saint David-sur-Mer,2023-11-08,nouveau
316,75,F,veuf,intermediaire,26344,Petit,2023-09-09,regulier
317,52,M,veuf,avance,08207,Saint Émile,2025-02-15,nouveau
318,70,F,celibataire,avance,66717,Marchal-la-Forêt,2025-04-05,occasionnel
319,26,F,celibataire,intermediaire,94684,Sainte Benjamindan,2023-09-18,occasionnel
320,46,M,divorce,intermediaire,62434,Delorme,2024-05-14,regulier
321,50,M,celibataire,intermediaire,01593,Saint Grégoire,2024-01-30,occasionnel
322,50,M,divorce,debutant,39340,Marchand-sur-Peltier,2024-11-23,occasionnel
323,56,M,divorce,intermediaire,86907,Hamel-sur-Berthelot,2023-12-17,nouveau
324,79,M,celibataire,avance,18585,Nguyen,2025-03-12,nouveau
325,35,M,concubinage,avance,72500,Jourdan-la-Forêt,2025-01-21,occasionnel
326,35,F,veuf,avance,38580,Delmas,2023-10-08,occasionnel
327,39,M,divorce,avance,82897,Charlesdan,2024-09-29,regulier
328,26,M,celibataire,intermediaire,50345,Pons,2025-07-17,regulier
329,31,F,marie,intermediaire,42646,Chauvet,2025-03-18,occasionnel
330,78,F,veuf,intermediaire,77873,Hernandez,2023-10-16,regulier
331,24,M,concubinage,debutant,73645,Saint Maurice,2023-08-09,occasionnel
332,25,F,celibataire,debutant,97689,Legendre-sur-Delattre,2025-04-22,occasionnel
333,65,M,marie,debutant,70523,Sainte René-sur-Mer,2023-10-11,regulier
334,21,M,celibataire,intermediaire,07711,Bodin,2024-09-23,regulier
335,74,M,divorce,avance,16985,Vincent-sur-Berthelot,2024-07-09,occasionnel
336,77,F,divorce,intermediaire,28644,BeckerVille,2024-09-06,occasionnel
337,60,F,veuf,intermediaire,53159,ValletBourg,2023-11-01,regulier
338,71,M,veuf,intermediaire,50388,Vaillant,2024-02-15,regulier
339,80,F,concubinage,avance,22856,Alves,2024-03-28,regulier
340,28,F,concubinage,intermediaire,19102,Dijoux-les-Bains,2023-09-20,regulier
341,76,F,concubinage,avance,84370,Thierryboeuf,2025-04-03,occasionnel
342,41,F,celibataire,debutant,33433,Saint Emmanuel,2023-09-09,regulier
343,82,M,concubinage,intermediaire,05714,Leclerc-sur-Laporte,2025-06-21,nouveau
344,62,M,veuf,avance,73351,MarquesVille,2023-07-26,occasionnel
345,65,M,divorce,avance,73694,Richard-sur-Mer,2024-05-05,regulier
346,63,M,celibataire,intermediaire,86501,Henry,2024-05-22,occasionnel
347,39,M,divorce,intermediaire,85588,Laine,2025-07-06,occasionnel
348,80,F,divorce,debutant,76773,Saint LéonBourg,2024-01-23,occasionnel
349,69,M,veuf,intermediaire,17251,Sainte Étienne,2024-07-11,nouveau
350,18,M,concubinage,avance,39937,Denis,2024-11-21,nouveau
351,82,F,veuf,avance,50807,Clément,2023-11-20,occasionnel
352,82,M,divorce,avance,81757,Lacroix,2023-09-29,regulier
353,26,F,marie,intermediaire,53359,GrosBourg,2024-10-02,regulier
354,45,F,celibataire,avance,31481,Ollivierdan,2023-09-14,occasionnel
355,38,M,marie,debutant,41698,Chauveau,2024-11-06,regulier
356,19,M,divorce,debutant,05415,Sainte Aurélie-sur-Mer,2023-09-26,nouveau
357,27,M,marie,avance,10722,Leleu-sur-Legrand,2025-05-07,regulier
358,38,F,veuf,debutant,30539,Raynaud,2025-04-19,nouveau
359,29,F,divorce,avance,07470,Saint Anastasie,2024-10-19,occasionnel
360,63,M,divorce,debutant,97218,Ramos,2025-02-22,occasionnel
361,82,M,divorce,avance,22828,Prévost,2025-06-07,occasionnel
362,34,M,divorce,intermediaire,03294,Vasseur,2023-11-16,nouveau
363,29,F,divorce,debutant,41245,Hebert-sur-Diallo,2024-01-09,regulier
364,85,F,concubinage,avance,18859,ParisVille,2024-10-11,nouveau
365,33,M,celibataire,debutant,55326,Bazin,2024-08-28,occasionnel
366,66,F,veuf,avance,79743,Le Roux-sur-Potier,2024-12-07,occasionnel
367,59,F,celibataire,debutant,86901,Alves,2023-07-28,occasionnel
368,34,F,celibataire,debutant,41317,Raymond-les-Bains,2025-04-12,regulier
369,48,M,veuf,intermediaire,39357,Deschampsboeuf,2024-09-03,regulier
