id,demande_id,temps_attente_minutes,heure_demande,jour_semaine,canal_utilise,priorite
146,146,16,12,vendredi,physique,faible
147,147,11,18,mercredi,visio,urgente
148,148,25,9,jeudi,telephone,normale
149,149,7,18,jeudi,telephone,faible
150,150,27,12,mardi,numerique,faible
151,151,24,10,lundi,telephone,faible
152,152,32,13,mercredi,numerique,normale
153,153,7,16,lundi,physique,faible
154,154,12,18,vendredi,physique,faible
155,155,6,18,jeudi,physique,normale
156,156,10,11,jeudi,visio,urgente
157,157,45,13,mercredi,numerique,normale
158,158,32,13,mercredi,visio,faible
159,159,20,17,vendredi,numerique,normale
160,160,12,10,vendredi,physique,faible
161,161,11,11,mercredi,visio,normale
162,162,28,14,lundi,visio,normale
163,163,5,11,mardi,physique,urgente
164,164,12,18,mardi,numerique,normale
165,165,23,11,jeudi,numerique,urgente
166,166,24,14,mercredi,physique,urgente
167,167,9,15,jeudi,telephone,faible
168,168,11,11,mardi,telephone,normale
169,169,13,10,mardi,telephone,urgente
170,170,9,11,jeudi,visio,urgente
171,171,20,11,lundi,visio,faible
172,172,38,14,lundi,telephone,faible
173,173,7,17,mardi,telephone,faible
174,174,26,13,mercredi,telephone,urgente
175,175,18,12,vendredi,visio,faible
176,176,35,12,mercredi,physique,normale
177,177,15,13,jeudi,visio,normale
178,178,10,8,jeudi,physique,urgente
179,179,23,14,vendredi,visio,faible
180,180,6,10,vendredi,physique,normale
181,181,36,12,mercredi,visio,normale
182,182,43,14,vendredi,visio,urgente
183,183,16,14,mercredi,visio,urgente
184,184,35,12,lundi,telephone,urgente
185,185,6,18,jeudi,physique,urgente
186,186,44,13,mardi,telephone,faible
187,187,8,9,lundi,telephone,urgente
188,188,13,18,lundi,physique,faible
189,189,10,9,vendredi,numerique,urgente
190,190,21,10,mercredi,telephone,faible
191,191,12,17,mardi,telephone,urgente
192,192,11,17,lundi,visio,urgente
193,193,8,10,mercredi,physique,normale
194,194,23,13,vendredi,telephone,faible
195,195,17,16,jeudi,numerique,normale
196,196,18,15,mardi,telephone,faible
197,197,9,16,vendredi,visio,urgente
198,198,26,13,lundi,telephone,faible
199,199,41,14,mardi,visio,normale
200,200,11,9,vendredi,numerique,urgente
201,201,19,10,lundi,physique,urgente
202,202,3,8,lundi,numerique,faible
203,203,24,14,vendredi,physique,faible
204,204,18,14,vendredi,physique,normale
205,205,8,18,mardi,physique,normale
206,206,17,9,mercredi,visio,urgente
207,207,6,11,vendredi,numerique,urgente
208,208,21,9,mardi,numerique,urgente
209,209,13,16,mercredi,telephone,normale
210,210,15,8,vendredi,telephone,faible
211,211,39,12,lundi,numerique,normale
212,212,12,17,mardi,telephone,faible
213,213,21,11,mercredi,telephone,faible
214,214,14,9,jeudi,numerique,faible
215,215,32,13,mercredi,numerique,urgente
216,216,10,17,jeudi,visio,urgente
217,217,7,8,vendredi,visio,normale
218,218,8,11,mercredi,visio,urgente
219,219,5,11,jeudi,numerique,normale
220,220,11,17,vendredi,physique,faible
221,221,17,12,mardi,visio,faible
222,222,21,11,lundi,numerique,faible
223,223,13,8,lundi,telephone,urgente
224,224,10,16,lundi,physique,urgente
225,225,3,8,mercredi,physique,urgente
226,226,12,16,mardi,physique,faible
227,227,15,12,mercredi,telephone,faible
228,228,29,12,vendredi,telephone,faible
229,229,15,16,jeudi,telephone,normale
230,230,9,10,mercredi,numerique,normale
231,231,35,14,mardi,physique,normale
232,232,19,16,mardi,numerique,urgente
233,233,40,12,mercredi,visio,faible
234,234,17,15,jeudi,numerique,urgente
235,235,4,16,vendredi,physique,faible
236,236,19,15,lundi,visio,normale
237,237,15,11,lundi,visio,faible
238,238,22,9,jeudi,telephone,faible
239,239,32,12,mercredi,telephone,normale
240,240,7,11,vendredi,numerique,faible
241,241,42,14,lundi,physique,normale
242,242,24,12,mardi,telephone,faible
243,243,9,16,vendredi,telephone,faible
244,244,44,12,lundi,numerique,faible
245,245,5,15,mercredi,telephone,normale
246,246,19,11,lundi,physique,urgente
247,247,15,9,mercredi,numerique,faible
248,248,18,10,mercredi,physique,urgente
249,249,11,18,lundi,telephone,normale
250,250,23,12,lundi,telephone,urgente
251,251,40,13,mercredi,physique,normale
252,252,15,11,mercredi,numerique,urgente
253,253,5,15,lundi,numerique,urgente
254,254,20,13,jeudi,physique,normale
255,255,5,17,mardi,physique,normale
256,256,20,15,vendredi,telephone,urgente
257,257,24,10,mercredi,physique,faible
258,258,15,11,mercredi,telephone,urgente
259,259,12,16,lundi,visio,normale
260,260,38,13,jeudi,numerique,normale
261,261,17,9,lundi,telephone,urgente
262,262,15,10,jeudi,visio,urgente
263,263,6,17,mercredi,telephone,faible
264,264,5,15,mercredi,numerique,normale
265,265,18,15,mardi,visio,faible
266,266,21,14,lundi,numerique,urgente
267,267,9,10,lundi,visio,normale
268,268,38,13,lundi,telephone,urgente
269,269,14,11,mercredi,visio,faible
270,270,3,15,lundi,visio,faible
271,271,45,12,mercredi,numerique,faible
272,272,5,10,jeudi,visio,urgente
273,273,20,18,lundi,telephone,faible
274,274,17,8,lundi,visio,normale
275,275,16,15,mardi,telephone,urgente
276,276,21,9,lundi,telephone,normale
277,277,16,18,mercredi,visio,normale
278,278,27,13,jeudi,physique,normale
279,279,7,11,lundi,visio,normale
280,280,13,11,vendredi,visio,normale
281,281,24,13,jeudi,telephone,urgente
282,282,17,8,jeudi,physique,faible
283,283,3,8,lundi,numerique,faible
284,284,37,12,vendredi,physique,urgente
285,285,8,15,vendredi,physique,faible
286,286,11,16,mercredi,visio,urgente
287,287,38,14,mardi,physique,urgente
288,288,24,9,mercredi,numerique,urgente
289,289,13,10,jeudi,numerique,normale
290,290,13,17,vendredi,physique,urgente
291,291,18,17,vendredi,physique,normale
292,292,16,11,mardi,telephone,normale
293,293,16,9,jeudi,telephone,normale
294,294,10,10,jeudi,numerique,faible
295,295,10,11,lundi,numerique,urgente
296,296,19,17,vendredi,numerique,normale
297,297,25,9,mardi,physique,normale
298,298,11,16,mercredi,numerique,normale
299,299,19,16,lundi,numerique,urgente
300,300,15,12,mardi,visio,normale
301,301,37,12,vendredi,numerique,urgente
302,302,5,15,mardi,numerique,faible
303,303,19,8,mercredi,numerique,faible
304,304,7,17,vendredi,telephone,faible
305,305,7,16,mercredi,visio,normale
306,306,18,14,lundi,telephone,faible
307,307,5,18,vendredi,visio,normale
308,308,15,18,mercredi,numerique,faible
309,309,7,16,mercredi,physique,normale
310,310,12,17,mercredi,numerique,urgente
311,311,5,16,lundi,physique,normale
312,312,38,13,jeudi,physique,normale
313,313,12,17,lundi,physique,faible
314,314,11,11,mercredi,numerique,normale
315,315,45,12,vendredi,numerique,normale
316,316,3,17,lundi,numerique,normale
317,317,20,10,mardi,numerique,urgente
318,318,42,13,mardi,telephone,urgente
319,319,22,11,lundi,visio,faible
320,320,25,14,mercredi,telephone,urgente
321,321,19,16,lundi,telephone,normale
322,322,22,13,mardi,telephone,normale
323,323,3,17,mardi,physique,faible
324,324,17,12,jeudi,numerique,normale
325,325,25,10,mercredi,numerique,urgente
326,326,6,8,lundi,physique,normale
327,327,4,18,lundi,physique,normale
328,328,13,16,vendredi,telephone,normale
329,329,24,14,lundi,physique,faible
330,330,45,12,vendredi,physique,faible
331,331,10,10,vendredi,telephone,faible
332,332,19,8,mardi,visio,normale
333,333,40,12,jeudi,numerique,normale
334,334,16,8,mardi,visio,normale
335,335,6,16,mardi,physique,urgente
336,336,13,16,vendredi,telephone,normale
337,337,10,18,vendredi,physique,faible
338,338,11,10,mardi,telephone,faible
339,339,16,17,vendredi,telephone,urgente
340,340,15,15,vendredi,visio,faible
341,341,36,14,lundi,numerique,normale
342,342,20,11,mardi,telephone,normale
343,343,22,11,lundi,physique,faible
344,344,42,14,mercredi,physique,faible
345,345,40,12,vendredi,physique,urgente
346,346,12,10,mercredi,telephone,normale
347,347,17,9,jeudi,physique,faible
348,348,24,14,jeudi,visio,urgente
349,349,28,13,jeudi,visio,urgente
350,350,13,17,jeudi,physique,urgente
351,351,39,13,mercredi,numerique,urgente
352,352,13,8,lundi,telephone,urgente
353,353,35,12,jeudi,telephone,faible
354,354,17,17,vendredi,telephone,normale
355,355,7,16,vendredi,telephone,faible
356,356,29,14,vendredi,physique,faible
357,357,3,17,lundi,physique,normale
358,358,17,16,mercredi,telephone,faible
359,359,15,18,lundi,physique,urgente
360,360,4,17,vendredi,telephone,faible
361,361,22,13,mardi,visio,faible
362,362,44,12,jeudi,numerique,faible
363,363,19,16,jeudi,visio,urgente
364,364,20,17,mardi,visio,faible
365,365,11,8,jeudi,telephone,faible
366,366,4,16,jeudi,numerique,urgente
367,367,7,11,mardi,telephone,normale
368,368,16,13,vendredi,telephone,normale
369,369,19,16,lundi,numerique,normale
370,370,15,16,mardi,telephone,urgente
371,371,3,18,mardi,numerique,urgente
372,372,25,13,lundi,numerique,urgente
373,373,13,16,jeudi,visio,normale
374,374,16,11,mardi,telephone,faible
375,375,16,14,jeudi,telephone,normale
376,376,23,11,vendredi,telephone,normale
377,377,38,14,mercredi,numerique,normale
378,378,16,9,vendredi,telephone,normale
379,379,19,10,lundi,telephone,faible
380,380,18,10,mardi,telephone,normale
381,381,17,13,lundi,numerique,normale
382,382,14,8,lundi,physique,faible
383,383,25,10,mercredi,numerique,faible
384,384,17,11,jeudi,telephone,urgente
385,385,7,11,mardi,visio,urgente
386,386,10,10,lundi,visio,faible
387,387,5,17,vendredi,numerique,normale
388,388,11,17,mardi,telephone,urgente
389,389,8,18,jeudi,physique,normale
390,390,15,17,lundi,numerique,urgente
391,391,15,15,mardi,numerique,normale
392,392,19,11,lundi,visio,urgente
393,393,16,10,jeudi,numerique,faible
394,394,19,8,vendredi,telephone,normale
395,395,9,16,jeudi,telephone,faible
396,396,3,18,lundi,visio,normale
397,397,6,10,mardi,visio,urgente
398,398,41,12,mardi,numerique,urgente
399,399,31,12,jeudi,telephone,urgente
400,400,14,18,vendredi,telephone,urgente
401,401,24,9,mardi,physique,faible
402,402,35,12,vendredi,telephone,normale
403,403,9,18,mercredi,physique,faible
404,404,9,16,vendredi,physique,normale
405,405,28,14,mardi,telephone,faible
406,406,19,9,mardi,physique,faible
407,407,16,12,jeudi,numerique,faible
408,408,17,9,mardi,telephone,normale
409,409,18,15,vendredi,visio,urgente
410,410,24,10,vendredi,visio,faible
411,411,15,15,lundi,telephone,faible
412,412,19,17,mercredi,visio,urgente
413,413,29,13,vendredi,visio,normale
414,414,21,12,mercredi,visio,urgente
415,415,16,12,jeudi,telephone,faible
416,416,24,10,lundi,telephone,faible
417,417,29,14,vendredi,telephone,normale
418,418,11,10,vendredi,physique,faible
419,419,8,8,mardi,numerique,faible
420,420,19,9,lundi,physique,faible
421,421,13,8,vendredi,visio,urgente
422,422,16,17,vendredi,physique,urgente
423,423,3,15,jeudi,visio,faible
424,424,16,10,vendredi,physique,faible
425,425,5,9,vendredi,visio,faible
426,426,24,11,mercredi,telephone,urgente
427,427,8,16,mardi,physique,urgente
428,428,38,12,mercredi,numerique,faible
429,429,21,9,mercredi,physique,normale
430,430,10,9,jeudi,visio,urgente
431,431,13,15,vendredi,telephone,urgente
432,432,39,13,jeudi,numerique,faible
433,433,33,12,mercredi,physique,normale
434,434,11,10,mardi,visio,urgente
435,435,44,12,lundi,visio,normale
436,436,18,15,mercredi,telephone,urgente
437,437,16,8,mercredi,numerique,faible
438,438,6,11,mardi,visio,faible
439,439,25,10,vendredi,physique,normale
440,440,3,15,jeudi,physique,urgente
441,441,14,10,lundi,physique,urgente
442,442,9,10,jeudi,physique,urgente
443,443,19,12,mardi,physique,normale
444,444,24,9,jeudi,visio,faible
445,445,7,9,mardi,physique,faible
446,446,37,12,jeudi,telephone,urgente
447,447,37,12,lundi,visio,faible
448,448,44,14,lundi,physique,normale
449,449,19,16,mercredi,telephone,urgente
450,450,14,11,lundi,numerique,faible
451,451,13,15,mercredi,numerique,urgente
452,452,24,9,jeudi,telephone,normale
453,453,16,16,vendredi,numerique,urgente
454,454,8,17,vendredi,numerique,faible
455,455,35,13,lundi,visio,normale
456,456,17,11,lundi,numerique,urgente
457,457,31,14,jeudi,physique,normale
458,458,16,10,mardi,telephone,faible
459,459,20,13,vendredi,numerique,normale
460,460,23,12,mardi,numerique,urgente
461,461,20,10,mercredi,telephone,normale
462,462,12,16,jeudi,numerique,faible
463,463,19,9,vendredi,telephone,normale
464,464,18,8,mercredi,numerique,urgente
465,465,10,8,vendredi,physique,faible
466,466,9,16,mardi,physique,urgente
467,467,25,13,lundi,physique,normale
468,468,16,15,lundi,visio,urgente
469,469,3,15,jeudi,telephone,normale
470,470,20,18,lundi,visio,urgente
471,471,15,9,vendredi,telephone,normale
472,472,23,14,lundi,visio,urgente
473,473,20,9,mercredi,telephone,normale
474,474,36,12,jeudi,visio,normale
475,475,21,10,jeudi,visio,urgente
476,476,3,16,mercredi,numerique,urgente
477,477,7,15,lundi,numerique,faible
478,478,44,13,vendredi,numerique,urgente
479,479,35,14,lundi,numerique,normale
480,480,17,16,mardi,physique,urgente
481,481,12,17,lundi,telephone,urgente
482,482,42,12,mercredi,numerique,faible
483,483,15,15,mercredi,numerique,faible
484,484,13,18,vendredi,numerique,normale
485,485,19,9,jeudi,visio,normale
486,486,4,16,mardi,telephone,faible
487,487,15,11,mercredi,telephone,urgente
488,488,19,9,mardi,visio,faible
489,489,20,15,mercredi,physique,normale
490,490,25,10,jeudi,physique,faible
491,491,24,12,mardi,telephone,normale
492,492,14,11,lundi,physique,urgente
493,493,22,10,lundi,telephone,faible
494,494,16,15,vendredi,numerique,normale
495,495,23,10,lundi,telephone,normale
496,496,19,11,lundi,visio,normale
497,497,10,15,lundi,telephone,urgente
498,498,3,18,lundi,numerique,faible
499,499,28,13,mardi,telephone,normale
500,500,11,16,vendredi,physique,faible
501,501,9,9,jeudi,telephone,urgente
502,502,19,12,jeudi,numerique,faible
503,503,8,9,mercredi,telephone,urgente
504,504,21,9,jeudi,telephone,faible
505,505,45,12,mardi,telephone,faible
506,506,20,14,lundi,visio,normale
507,507,30,12,jeudi,telephone,urgente
508,508,7,9,vendredi,telephone,urgente
509,509,13,15,jeudi,physique,normale
510,510,27,12,mardi,telephone,normale
511,511,8,16,mardi,physique,normale
512,512,25,14,mercredi,visio,normale
513,513,6,18,lundi,physique,urgente
514,514,19,9,mercredi,telephone,urgente
515,515,16,10,lundi,telephone,faible
516,516,17,11,vendredi,physique,faible
517,517,18,8,jeudi,telephone,normale
518,518,6,18,vendredi,physique,faible
519,519,32,14,vendredi,telephone,faible
520,520,9,8,vendredi,numerique,urgente
521,521,30,13,vendredi,numerique,faible
522,522,3,18,mercredi,telephone,urgente
523,523,43,14,lundi,physique,normale
524,524,38,14,mardi,visio,urgente
525,525,24,10,vendredi,visio,normale
526,526,17,17,mardi,physique,normale
527,527,4,18,mercredi,physique,faible
528,528,13,17,mardi,visio,normale
529,529,12,17,mercredi,physique,normale
530,530,8,8,jeudi,numerique,faible
531,531,11,18,mardi,physique,urgente
532,532,39,12,vendredi,telephone,urgente
533,533,10,9,mardi,physique,urgente
534,534,21,11,lundi,visio,urgente
535,535,16,18,lundi,physique,normale
536,536,33,14,vendredi,physique,normale
537,537,17,9,mardi,physique,urgente
538,538,12,9,mardi,physique,normale
539,539,40,12,lundi,numerique,faible
540,540,13,15,mercredi,visio,normale
541,541,14,11,mardi,telephone,normale
542,542,42,12,jeudi,physique,urgente
543,543,17,15,vendredi,numerique,urgente
544,544,20,18,vendredi,telephone,faible
545,545,14,17,lundi,physique,faible
546,546,13,17,vendredi,telephone,urgente
547,547,12,15,jeudi,visio,faible
548,548,3,16,jeudi,telephone,normale
549,549,12,18,mercredi,telephone,urgente
550,550,19,12,mercredi,telephone,urgente
551,551,10,15,mardi,physique,normale
552,552,14,8,lundi,physique,normale
553,553,17,11,jeudi,physique,faible
554,554,8,15,mercredi,telephone,faible
555,555,6,16,mardi,visio,urgente
556,556,16,11,mardi,physique,urgente
557,557,8,17,jeudi,numerique,normale
558,558,18,17,vendredi,physique,normale
559,559,3,15,jeudi,visio,normale
560,560,16,18,jeudi,visio,faible
561,561,29,12,lundi,telephone,urgente
562,562,5,18,lundi,physique,faible
563,563,6,18,lundi,visio,normale
564,564,14,11,mardi,visio,normale
565,565,25,11,mardi,telephone,urgente
566,566,17,8,lundi,physique,faible
567,567,19,11,mardi,telephone,urgente
568,568,9,16,mardi,physique,urgente
569,569,13,17,lundi,physique,urgente
570,570,8,16,mardi,numerique,urgente
571,571,3,18,mardi,numerique,normale
572,572,6,10,mercredi,numerique,normale
573,573,21,13,vendredi,visio,faible
574,574,44,13,lundi,telephone,urgente
575,575,13,17,mercredi,physique,faible
576,576,30,14,mercredi,visio,faible
577,577,15,10,jeudi,physique,faible
578,578,12,17,vendredi,numerique,urgente
579,579,19,18,vendredi,telephone,faible
580,580,21,11,mardi,numerique,faible
581,581,25,11,mercredi,numerique,normale
582,582,16,8,lundi,physique,faible
583,583,14,11,lundi,physique,urgente
584,584,20,12,lundi,numerique,urgente
585,585,13,17,mardi,visio,urgente
586,586,22,11,lundi,numerique,faible
587,587,10,11,lundi,numerique,normale
588,588,9,10,vendredi,physique,normale
589,589,11,10,jeudi,physique,urgente
590,590,3,18,jeudi,telephone,normale
591,591,5,17,jeudi,visio,faible
592,592,10,10,vendredi,telephone,normale
593,593,8,18,vendredi,visio,faible
594,594,10,16,jeudi,physique,faible
595,595,14,11,vendredi,visio,normale
596,596,44,14,vendredi,physique,urgente
597,597,18,8,vendredi,physique,urgente
598,598,10,18,mercredi,numerique,urgente
599,599,24,13,mercredi,telephone,urgente
600,600,17,12,mardi,physique,normale
601,601,13,16,vendredi,visio,faible
602,602,15,15,jeudi,telephone,faible
603,603,12,10,mardi,visio,urgente
604,604,5,11,lundi,physique,faible
605,605,19,18,mardi,numerique,urgente
606,606,17,15,mercredi,telephone,normale
607,607,15,13,vendredi,telephone,normale
608,608,17,10,mardi,telephone,normale
609,609,27,12,jeudi,physique,urgente
610,610,22,9,jeudi,numerique,faible
611,611,6,10,jeudi,physique,normale
612,612,15,13,jeudi,physique,faible
613,613,3,8,jeudi,visio,urgente
614,614,20,14,mardi,telephone,faible
615,615,15,9,lundi,telephone,normale
616,616,10,10,vendredi,numerique,urgente
617,617,18,16,mardi,visio,urgente
618,618,18,17,mercredi,numerique,faible
619,619,14,18,jeudi,numerique,normale
620,620,11,17,mercredi,physique,normale
621,621,10,18,jeudi,telephone,normale
622,622,12,10,mardi,physique,normale
623,623,3,17,lundi,numerique,normale
624,624,8,15,mardi,numerique,urgente
625,625,25,11,mercredi,numerique,faible
626,626,31,12,jeudi,physique,normale
627,627,25,9,jeudi,numerique,normale
628,628,19,17,lundi,visio,faible
629,629,15,16,vendredi,physique,faible
630,630,18,17,mercredi,visio,normale
631,631,35,13,vendredi,visio,faible
632,632,6,10,jeudi,numerique,urgente
633,633,10,18,jeudi,numerique,normale
634,634,18,17,mercredi,numerique,normale
635,635,11,10,jeudi,telephone,urgente
636,636,19,10,mercredi,telephone,normale
637,637,19,18,mercredi,telephone,normale
638,638,42,12,jeudi,telephone,faible
639,639,23,11,mardi,visio,faible
640,640,17,16,lundi,numerique,faible
641,641,12,8,lundi,visio,faible
642,642,22,14,mercredi,visio,normale
643,643,6,9,mercredi,telephone,faible
644,644,19,16,lundi,telephone,urgente
645,645,19,16,jeudi,numerique,faible
646,646,4,8,mercredi,numerique,normale
647,647,16,10,mardi,visio,normale
648,648,19,10,lundi,telephone,urgente
649,649,20,13,vendredi,visio,urgente
650,650,31,14,mercredi,physique,urgente
651,651,25,10,mardi,physique,urgente
652,652,9,17,lundi,visio,normale
653,653,35,12,vendredi,numerique,normale
654,654,18,8,jeudi,numerique,urgente
655,655,16,9,lundi,numerique,normale
656,656,19,17,vendredi,numerique,normale
657,657,17,9,lundi,telephone,normale
658,658,45,14,mercredi,visio,urgente
659,659,36,13,jeudi,visio,normale
660,660,20,10,mercredi,visio,normale
661,661,27,14,jeudi,numerique,urgente
662,662,8,10,lundi,telephone,normale
663,663,6,9,jeudi,telephone,normale
664,664,19,13,vendredi,visio,faible
665,665,40,13,mardi,visio,faible
666,666,39,13,mercredi,physique,normale
667,667,23,11,vendredi,visio,faible
668,668,26,13,mardi,visio,faible
669,669,17,16,jeudi,telephone,faible
670,670,11,16,jeudi,visio,urgente
671,671,11,8,mercredi,visio,normale
672,672,5,10,lundi,numerique,faible
673,673,14,17,mercredi,telephone,normale
674,674,36,13,lundi,numerique,normale
675,675,8,15,lundi,numerique,urgente
676,676,8,11,mardi,physique,urgente
677,677,16,18,lundi,physique,faible
678,678,10,17,mardi,physique,urgente
679,679,5,18,vendredi,physique,faible
680,680,20,17,lundi,visio,faible
681,681,32,12,jeudi,physique,urgente
682,682,12,18,mardi,physique,normale
683,683,20,8,vendredi,physique,faible
684,684,11,16,lundi,visio,faible
685,685,6,10,vendredi,telephone,urgente
686,686,26,12,mardi,visio,normale
687,687,9,18,lundi,physique,faible
688,688,5,11,vendredi,physique,faible
689,689,6,8,mercredi,numerique,normale
690,690,7,15,vendredi,visio,urgente
691,691,7,8,mardi,telephone,normale
692,692,18,17,lundi,numerique,urgente
693,693,13,10,mardi,telephone,normale
694,694,7,18,mardi,visio,faible
695,695,7,10,mercredi,visio,faible
696,696,3,18,mercredi,telephone,urgente
697,697,39,12,vendredi,physique,urgente
698,698,8,17,vendredi,visio,urgente
699,699,19,13,mercredi,physique,normale
700,700,6,18,lundi,telephone,faible
701,701,14,17,jeudi,telephone,urgente
702,702,41,14,vendredi,numerique,urgente
703,703,5,9,mardi,telephone,urgente
704,704,6,10,mercredi,physique,faible
705,705,6,11,mardi,numerique,urgente
706,706,17,18,mercredi,telephone,normale
707,707,9,15,lundi,numerique,urgente
708,708,15,8,mardi,physique,urgente
709,709,20,10,mercredi,physique,normale
710,710,7,11,jeudi,physique,faible
711,711,18,16,lundi,physique,normale
712,712,19,15,mardi,physique,urgente
713,713,19,9,mardi,telephone,normale
714,714,18,17,mercredi,numerique,urgente
715,715,14,18,vendredi,physique,faible
716,716,10,10,mardi,visio,faible
717,717,23,13,lundi,physique,urgente
